VIDEO_ID,VIDEO_NAME,SENTENCE_ID,SENTENCE_NAME,START,END,SENTENCE
--8pSDeC-fg,--8pSDeC-fg-5-rgb_front,--8pSDeC-fg_0,--8pSDeC-fg_0-5-rgb_front,0.51,0.99,Hi.
--8pSDeC-fg,--8pSDeC-fg-5-rgb_front,--8pSDeC-fg_10,--8pSDeC-fg_10-5-rgb_front,34.56,39.53,Are you always focused on the positive aspects of your physical self instead of the negative?
--8pSDeC-fg,--8pSDeC-fg-5-rgb_front,--8pSDeC-fg_7,--8pSDeC-fg_7-5-rgb_front,26.79,28.33,How do you feel about yourself?
--8pSDeC-fg,--8pSDeC-fg-5-rgb_front,--8pSDeC-fg_8,--8pSDeC-fg_8-5-rgb_front,28.45,29.45,What do you see?
--8pSDeC-fg,--8pSDeC-fg-5-rgb_front,--8pSDeC-fg_9,--8pSDeC-fg_9-5-rgb_front,29.8,34.12,Do you see the positive parts of your personality or do you notice the negative?
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_10,--dANj_01AU_10-5-rgb_front,51.19,53.43,I lift it up enough to make sure that I'm comfortable.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_11,--dANj_01AU_11-5-rgb_front,60.24,61.77,Come back and forth.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_13,--dANj_01AU_13-5-rgb_front,65.7,67.18,So we're going to start again on this one.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_17,--dANj_01AU_17-5-rgb_front,90.37,98.52,"Coming in here and again, nice rocking back and forth, back and forth."
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_19,--dANj_01AU_19-5-rgb_front,107.31,108.98,Back and forth.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_20,--dANj_01AU_20-5-rgb_front,109.08,110.33,Back and forth.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_3,--dANj_01AU_3-5-rgb_front,15.58,18.13,On the front leg you're going to be doing the outside.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_4,--dANj_01AU_4-5-rgb_front,18.3,21,"And on the inside leg closest to you, you're going to be doing the inside."
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_5,--dANj_01AU_5-5-rgb_front,21.03,22.92,So we're going to start with the inside leg first.
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_6,--dANj_01AU_6-5-rgb_front,23.19,29.94,"Placing the palm, placing the palm and then start in a nice rocking fashion."
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_7,--dANj_01AU_7-5-rgb_front,30.83,38.12,"Walking it up, rocking it down."
--dANj_01AU,--dANj_01AU-5-rgb_front,--dANj_01AU_9,--dANj_01AU_9-5-rgb_front,46.47,51.19,"Coming to the other one, and again, just in a nice rocking position."
-00cp1iGiDw,-00cp1iGiDw-5-rgb_front,-00cp1iGiDw_4,-00cp1iGiDw_4-5-rgb_front,27.76,32,So we are going to be talking about products that you can use to prevent fleas.
-06_nJnhORg,-06_nJnhORg-5-rgb_front,-06_nJnhORg_1,-06_nJnhORg_1-5-rgb_front,15.04,17.91,But things just don't go right from the very beginning.
-06_nJnhORg,-06_nJnhORg-5-rgb_front,-06_nJnhORg_19,-06_nJnhORg_19-5-rgb_front,144.17,146.31,"And, so, that was kind of tough."
-08ZGCviCm4,-08ZGCviCm4-5-rgb_front,-08ZGCviCm4_7,-08ZGCviCm4_7-5-rgb_front,64.46,66.98,That is a great tip that I give to a lot of my students.
-0BynF9TSNI,-0BynF9TSNI-5-rgb_front,-0BynF9TSNI_11,-0BynF9TSNI_11-5-rgb_front,55.58,56.81,The kids will love you for it.
-0BynF9TSNI,-0BynF9TSNI-5-rgb_front,-0BynF9TSNI_13,-0BynF9TSNI_13-5-rgb_front,61.94,62.76,I hope you make it.
-0BynF9TSNI,-0BynF9TSNI-5-rgb_front,-0BynF9TSNI_5,-0BynF9TSNI_5-5-rgb_front,34.9,35.95,I mean this is nice.
-0BynF9TSNI,-0BynF9TSNI-5-rgb_front,-0BynF9TSNI_8,-0BynF9TSNI_8-5-rgb_front,43.68,46.04,I'm going to show you all the ingredients of this recipe.
-0FA6OhxZSE,-0FA6OhxZSE-5-rgb_front,-0FA6OhxZSE_3,-0FA6OhxZSE_3-5-rgb_front,16.34,19.03,And I'm just going to come in here and just kinda fill it out.
-0FA6OhxZSE,-0FA6OhxZSE-5-rgb_front,-0FA6OhxZSE_5,-0FA6OhxZSE_5-5-rgb_front,44.88,48.72,"So, now, I'm getting this texture of the paint underneath of it."
-0FA6OhxZSE,-0FA6OhxZSE-5-rgb_front,-0FA6OhxZSE_7,-0FA6OhxZSE_7-5-rgb_front,55.83,58.65,And I'm not trying to cover up all the red.
-0JdYlTf9Y8,-0JdYlTf9Y8-5-rgb_front,-0JdYlTf9Y8_11,-0JdYlTf9Y8_11-5-rgb_front,70.74,72.66,"It's really, what you get for your dollar."
-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,-0N0jbyBW6g_0,-0N0jbyBW6g_0-5-rgb_front,0.58,1.06,Hello.
-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,-0N0jbyBW6g_1,-0N0jbyBW6g_1-5-rgb_front,1.12,4.36,We're going to be speaking about cross stitch craft kits today.
-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,-0N0jbyBW6g_11,-0N0jbyBW6g_11-5-rgb_front,67.49,67.97,Thank you.
-0N0jbyBW6g,-0N0jbyBW6g-5-rgb_front,-0N0jbyBW6g_4,-0N0jbyBW6g_4-5-rgb_front,17.78,20.77,These kits allow you to do different designs.
-0daC3SWCPQ,-0daC3SWCPQ-5-rgb_front,-0daC3SWCPQ_0,-0daC3SWCPQ_0-5-rgb_front,2.45,2.85,Hello!
-0daC3SWCPQ,-0daC3SWCPQ-5-rgb_front,-0daC3SWCPQ_6,-0daC3SWCPQ_6-5-rgb_front,31.58,34.92,"To do things together, to learn together and to grow together."
-0oP2H0vAGY,-0oP2H0vAGY-5-rgb_front,-0oP2H0vAGY_3,-0oP2H0vAGY_3-5-rgb_front,16.54,19.26,"What you do one, is choose one person who is just going to run the game."
-0oP2H0vAGY,-0oP2H0vAGY-5-rgb_front,-0oP2H0vAGY_8,-0oP2H0vAGY_8-5-rgb_front,51.13,53.92,Everybody's eyes open and the game begins.
